sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-5000_iter-1,depth-5000_iter-2,depth-5000_iter-3,depth-5000_iter-4,depth-5000_iter-5,depth-5000_iter-6,depth-5000_iter-7,depth-5000_iter-8,depth-5000_iter-9,depth-5000_iter-10,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,depth-15000_iter-1,depth-15000_iter-2,depth-15000_iter-3,depth-15000_iter-4,depth-15000_iter-5,depth-15000_iter-6,depth-15000_iter-7,depth-15000_iter-8,depth-15000_iter-9,depth-15000_iter-10,depth-20000_iter-1,depth-20000_iter-2,depth-20000_iter-3,depth-20000_iter-4,depth-20000_iter-5,depth-20000_iter-6,depth-20000_iter-7,depth-20000_iter-8,depth-20000_iter-9,depth-20000_iter-10,depth-25000_iter-1,depth-25000_iter-2,depth-25000_iter-3,depth-25000_iter-4,depth-25000_iter-5,depth-25000_iter-6,depth-25000_iter-7,depth-25000_iter-8,depth-25000_iter-9,depth-25000_iter-10,depth-30000_iter-1,depth-30000_iter-2,depth-30000_iter-3,depth-30000_iter-4,depth-30000_iter-5,depth-30000_iter-6,depth-30000_iter-7,depth-30000_iter-8,depth-30000_iter-9,depth-30000_iter-10,depth-35000_iter-1,depth-35000_iter-2,depth-35000_iter-3,depth-35000_iter-4,depth-35000_iter-5,depth-35000_iter-6,depth-35000_iter-7,depth-35000_iter-8,depth-35000_iter-9,depth-35000_iter-10,depth-40000_iter-1,depth-40000_iter-2,depth-40000_iter-3,depth-40000_iter-4,depth-40000_iter-5,depth-40000_iter-6,depth-40000_iter-7,depth-40000_iter-8,depth-40000_iter-9,depth-40000_iter-10,depth-45000_iter-1,depth-45000_iter-2,depth-45000_iter-3,depth-45000_iter-4,depth-45000_iter-5,depth-45000_iter-6,depth-45000_iter-7,depth-45000_iter-8,depth-45000_iter-9,depth-45000_iter-10,BioProject,BioSample,env_broad_scale,env_local_scale,env_medium,geo_loc_name,SampleName,Organism
SRR23295634,1,1,1,1,1,1,1,1,1,1,361,358,364,348,361,355,364,361,358,352,390,391,390,392,384,387,389,390,388,388,393.0,393.0,393.0,393.0,392.0,393.0,393.0,393.0,392.0,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRJNA930143,SAMN32984423,Shrimp culture Farm,Pond 1,Healthy Shrimp gut,India: Andhra pradesh,C1_C,Penaeus vannamei
SRR23295635,1,1,1,1,1,1,1,1,1,1,341,341,335,337,339,340,339,338,339,339,347,347,347,347,347,347,347,347,347,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRJNA930143,SAMN32984423,Shrimp culture Farm,Pond 1,Healthy Shrimp gut,India: Andhra pradesh,C1_B,Penaeus vannamei
SRR23295636,1,1,1,1,1,1,1,1,1,1,255,251,255,258,255,252,256,253,249,253,273,273,278,277,276,273,278,278,274,275,286.0,285.0,285.0,281.0,282.0,283.0,282.0,278.0,281.0,283.0,284.0,286.0,286.0,285.0,285.0,285.0,285.0,286.0,285.0,283.0,286.0,286.0,285.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRJNA930143,SAMN32984423,Shrimp culture Farm,Pond 1,Healthy Shrimp gut,India: Andhra pradesh,C1_A,Penaeus vannamei
SRR23329747,1,1,1,1,1,1,1,1,1,1,357,343,329,337,344,341,347,353,350,343,411,407,406,407,410,404,419,406,408,418,438.0,444.0,438.0,439.0,440.0,434.0,437.0,435.0,437.0,437.0,446.0,447.0,451.0,449.0,447.0,450.0,450.0,455.0,457.0,450.0,459.0,460.0,461.0,457.0,459.0,461.0,456.0,456.0,460.0,457.0,461.0,462.0,460.0,464.0,464.0,462.0,458.0,463.0,462.0,461.0,461.0,462.0,462.0,464.0,464.0,463.0,464.0,464.0,464.0,462.0,464.0,464.0,464.0,463.0,463.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,463.0,464.0,464.0,PRJNA930143,SAMN33051429,Shrimp culture farm,Pond 5,culture pond,India: Andhra Pradesh,WFS_C,Penaeus vannamei
SRR23329748,1,1,1,1,1,1,1,1,1,1,509,508,504,506,512,508,506,506,508,505,514,514,514,514,514,513,513,514,513,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRJNA930143,SAMN33051429,Shrimp culture farm,Pond 5,culture pond,India: Andhra Pradesh,WFS_B,Penaeus vannamei
SRR23329749,1,1,1,1,1,1,1,1,1,1,276,275,275,280,273,274,270,275,269,284,304,314,314,306,308,311,310,309,312,309,322.0,318.0,320.0,320.0,321.0,322.0,322.0,317.0,321.0,318.0,322.0,325.0,322.0,324.0,325.0,323.0,323.0,324.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,323.0,324.0,325.0,325.0,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRJNA930143,SAMN33051429,Shrimp culture farm,Pond 5,culture pond,India: Andhra Pradesh,WFS_A,Penaeus vannamei
