Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
6b447cb5698a0e9d1dc898a49c4e92c6	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	UBA2336	UBA2336 sp030584025	100	100	100	100	100	100	83	GTDB r207
d02a8ed15ecca0a5d04d9883db4355c0	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	NA	NA	100	100	100	100	100	51	51	GTDB r207
b6612c3da838f3390a47885c51b12573	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	100	100	100	100	100	100	65	GTDB r207
5f07a1229911be9e8c184e2429a4d116	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	NA	NA	100	100	100	100	100	48	48	GTDB r207
06cccdd7118dd128dcd624ff80feda1e	Bacteria	Chloroflexota	Anaerolineae	JAAEKA01	JAAEKA01	JAAEKA01	NA	100	100	100	100	100	100	61	GTDB r207
d3a2f0467960e0c7ac6d46b53e0b6869	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	100	100	100	100	100	53	26	GTDB r207
21463f5b0f70644de44810a2afb31b91	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Aureliella	Aureliella helgolandensis	100	100	100	100	100	100	100	GTDB r207
12554223b713caf72eece0461c831fa6	Bacteria	Patescibacteria	Microgenomatia	UBA1406	GWC2-37-13	JAKBEU01	JAKBEU01 sp021833625	100	100	100	100	100	100	88	GTDB r207
7e6f56dfb73440d0e63186e928e4d127	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	SXXK01	SXXK01 sp903921605	100	100	100	100	100	100	99	GTDB r207
b016db43baf752d2959187e20c9a7d44	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Aliivibrio	Aliivibrio sp024206155	100	100	100	100	100	100	100	GTDB r207
114efae3bc438e6463d19b960671a034	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	NA	100	100	100	100	100	100	8	GTDB r207
ba18766f52e3982685b9757426c5f9e3	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	NA	NA	100	100	100	100	100	53	53	GTDB r207
8d4f6d23d38767a64c05ebec71e59ec9	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus cohnii	100	100	100	100	100	100	100	GTDB r207
3f1602b25febdb074bf6166b1106ab02	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	NA	NA	100	100	100	100	100	63	47	GTDB r207
c9e4d64a336b07090f3848d4f7804903	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Cyanobium	Cyanobium sp024958655	100	100	100	100	100	99	95	GTDB r207
4534f9d9f09876c5a0addad8118a6236	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	VGXO01	VGXO01 sp016873275	100	100	100	100	100	100	100	GTDB r207
b9cce6fb2ae657bbdebc0be854bb6152	Bacteria	Chloroflexota	Limnocylindria	Limnocylindrales	CSP1-4	NA	NA	100	100	100	100	100	53	53	GTDB r207
7503cf2700c626a75e86eb0bdb2a3564	Bacteria	NA	NA	NA	NA	NA	NA	100	70	69	68	68	68	68	GTDB r207
f5ef8e264a32d0bddf3cecc01391a350	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Fuerstiella	Fuerstiella marisgermanici	100	100	100	100	100	100	98	GTDB r207
