	SRR23295634	SRR23295636	SRR23329747	SRR23329749
SRR23295634	0	0.1541928052902222	0.4045572876930237	0.5067328214645386
SRR23295636	0.1541928052902222	0	0.3790754973888397	0.4873052537441254
SRR23329747	0.4045572876930237	0.3790754973888397	0	0.1383485347032547
SRR23329749	0.5067328214645386	0.4873052537441254	0.1383485347032547	0
